Wavelength [nm], Absorbance
463.99999999999994, 0.2548968251090713
464.49999999999994, 0.2552305008727389
465, 0.25450155751993453
465.49999999999994, 0.25230098601748985
465.99999999999994, 0.2520384649068257
466.5, 0.25366740900735785
466.99999999999994, 0.25525258393383154
467.49999999999994, 0.25496223008133345
468, 0.25483627465512715
468.49999999999994, 0.2557330546916674
468.99999999999994, 0.2525810223188021
469.5, 0.24985486800832923
469.99999999999994, 0.2546746200423673
470.49999999999994, 0.2621921709297812
471, 0.26890715092635364
471.49999999999994, 0.27255939057283474
471.99999999999994, 0.2766705132171916
472.5, 0.28035067573665184
472.99999999999994, 0.28649773445522353
473.49999999999994, 0.2925206783494865
474, 0.2958557766023837
474.49999999999994, 0.3000630224518295
474.99999999999994, 0.305558036793677
475.5, 0.31431281541442946
475.99999999999994, 0.3247589001626494
476.49999999999994, 0.33071364875677567
477, 0.3325193194565559
477.49999999999994, 0.33565814794120996
477.99999999999994, 0.34135095929519466
478.5, 0.34727691127581384
478.99999999999994, 0.35528069974018983
479.49999999999994, 0.3643589550625519
480, 0.37231523593493776
480.5, 0.37746064991595496
480.99999999999994, 0.38402589342249005
481.49999999999994, 0.3891540734300172
481.99999999999994, 0.39202000950438265
482.49999999999994, 0.3934574355229232
483, 0.39332304787358385
483.5, 0.3928989142522399
483.99999999999994, 0.3952044490420725
484.49999999999994, 0.3950152958796167
484.99999999999994, 0.3905981172068236
485.49999999999994, 0.39014641997128763
486, 0.39406736784505103
486.5, 0.395730995130986
486.99999999999994, 0.3933194079483435
487.49999999999994, 0.39318437261923567
487.99999999999994, 0.39515774554763006
488.49999999999994, 0.39632007122933643
489, 0.39597127485356154
489.5, 0.39602752101218464
489.99999999999994, 0.39630335939740124
490.49999999999994, 0.39458078616774017
490.99999999999994, 0.39314322320171247
491.49999999999994, 0.3935558074162824
492, 0.3997975578341437
492.5, 0.40648192946329775
492.99999999999994, 0.41261452847277624
493.49999999999994, 0.42290488144457505
493.99999999999994, 0.4359699533494732
494.49999999999994, 0.446634173414032
495, 0.46104125547786
495.5, 0.4775486951724277
495.99999999999994, 0.49361010135601013
496.49999999999994, 0.5091232267074943
496.99999999999994, 0.5283365861045723
497.49999999999994, 0.5548811025446465
498, 0.5790500923536821
498.5, 0.6087466288396715
498.99999999999994, 0.6396561757065191
499.49999999999994, 0.6695398910353028
499.99999999999994, 0.7088078353257488
500.49999999999994, 0.7445524101880365
501, 0.7773294168390144
501.49999999999994, 0.8177592021297682
501.99999999999994, 0.857584411052811
502.49999999999994, 0.8926575382708295
502.99999999999994, 0.9309619024658753
503.49999999999994, 0.970691596191271
504, 1.012540593590911
504.49999999999994, 1.0470982136964322
504.99999999999994, 1.0964490589586027
505.49999999999994, 1.1488348689202335
505.99999999999994, 1.1900631050444623
506.49999999999994, 1.2396682491740334
507, 1.2908477125311832
507.49999999999994, 1.3359479107301038
507.99999999999994, 1.3877561347216805
508.49999999999994, 1.4377395748390658
508.99999999999994, 1.4818188397742795
509.49999999999994, 1.529042189732901
510, 1.5802400260566403
510.49999999999994, 1.6293730499683687
510.99999999999994, 1.6642104805091957
511.49999999999994, 1.7017375976370257
511.99999999999994, 1.7324657181991463
512.5, 1.751405113146257
513, 1.7715893246302503
513.5, 1.7899223581288268
514, 1.8034226823084487
514.5, 1.8176580375795486
515, 1.8249542097575793
515.5, 1.8281662067172397
516, 1.8263012523498707
516.5, 1.8215635877395213
517, 1.8124206515736723
517.5, 1.7943062761366928
518, 1.7724833001404638
518.5, 1.7497468639324696
519, 1.7192836601659587
519.5, 1.6830878113253083
520, 1.6467357486682719
520.5, 1.602951914216809
521, 1.560438727773474
521.5, 1.5132115002690667
522, 1.467882294270785
522.5, 1.4108070515933249
523, 1.3523172659723852
523.5, 1.2990565497128221
524, 1.2379608600769703
524.5, 1.1899252340344209
525, 1.1415977470126384
525.5, 1.080142668667457
526, 1.027978127080417
526.5, 0.9898961470278058
527, 0.9400325215239982
527.5, 0.8856832688924006
528, 0.8350366049879994
528.5, 0.7980929313435587
529, 0.7572143247054703
529.5, 0.7166469158991875
530, 0.6803359093868981
530.5, 0.638576152264442
531, 0.6049028284729672
531.5, 0.5837304905720733
532, 0.5622390955510963
532.5, 0.5429746676821319
533, 0.5233359298417959
533.5, 0.5088552928966559
534, 0.49627656788926444
534.5, 0.4857871107757923
535, 0.47715565539034444
535.5, 0.4725983685939754
536, 0.47117288332868057
536.5, 0.47359230216564807
537, 0.4791728213209163
537.5, 0.4854100709776574
538, 0.49238610569326546
538.5, 0.5050872874111763
539, 0.521778158955744
539.5, 0.5346666783174463
539.9999999999999, 0.5485719719071875
540.5, 0.5692695052311731
541, 0.5898619900044197
541.5, 0.611484648669447
542, 0.6308966269345229
542.5, 0.6468865749168393
542.9999999999999, 0.6669955900030451
543.5, 0.6874151801653765
544, 0.7077593894817884
544.5, 0.725614232238033
545, 0.7425465921644339
545.5, 0.7586420541590133
546, 0.7737970662699034
546.5, 0.7928791799865724
547, 0.8103202073113298
547.5, 0.8219564303297742
548, 0.8359344315504678
548.5, 0.8509427252854476
549, 0.8591564707114978
549.5, 0.8641300410200761
550, 0.8616738704388776
550.5, 0.8598655774470343
551, 0.854078505361993
551.5, 0.8456369163730781
552, 0.8311967418401709
552.5, 0.8180612051978469
553, 0.7966731849851123
553.5, 0.7757062260974976
554, 0.7592925340743992
554.5, 0.7374888981752816
555, 0.7142177541472021
555.5, 0.6921344063183756
556, 0.6652357243883369
556.5, 0.6386264552938687
557, 0.6154634751478127
557.5, 0.5894842091838863
558, 0.5587107868894305
558.5, 0.5268094163541637
559, 0.5037854250394869
559.5, 0.478639047237146
560, 0.4523626460713528
560.5, 0.4305035418849714
561, 0.40564329022710766
561.5, 0.3830403621723759
562, 0.36810640867486644
562.5, 0.3487907175910685
563, 0.32859486806102645
563.5, 0.31173828854018293
564, 0.2997041024225373
564.5, 0.28358439137280467
565, 0.2648096319945097
565.5, 0.2514688435974808
566, 0.24028081531410272
566.5, 0.23233180283809585
567, 0.22863096749065104
567.5, 0.22326610088642784
568, 0.21707488462524616
568.5, 0.20915850541971093
569, 0.20220969625089502
569.5, 0.20048232718870018
570, 0.20072193250564574
570.5, 0.2007295911553042
571, 0.20068322931257931
571.5, 0.2009942917500558
572, 0.20455990583288752
572.5, 0.21116951996651334
573, 0.21510248446414781
573.5, 0.21855857150507418
574, 0.22037180370461673
574.5, 0.22242206270024756
575, 0.22593429880785898
575.4999999999999, 0.23339996520679218
576, 0.24203286044107486
576.5, 0.2470670910024717
577, 0.2531761389648297
577.5, 0.26332377593717915
578, 0.2735656141838865
578.4999999999999, 0.2847720836010783
579, 0.2953097635191799
579.5, 0.30814182502299214
580, 0.32286679010484143
580.5, 0.3350997929223629
581, 0.34465353970607016
581.4999999999999, 0.36275893688417327
582, 0.38263756204284594
582.5, 0.4020321023138864
583, 0.41609905169425687
583.5, 0.4335875327620249
584, 0.44781252726465404
584.4999999999999, 0.45983829555554045
585, 0.47618878422999344
585.5, 0.49056162156251126
586, 0.4999814110659617
586.5, 0.5112545685230012
587, 0.5223184724937537
587.4999999999999, 0.531819675851346
588, 0.5403193734776996
588.5, 0.5461219634277281
589, 0.5500290715177911
589.5, 0.5537654495361641
590, 0.5583211265236647
590.4999999999999, 0.5590317665403521
591, 0.55916054317189
591.5, 0.5578232586451426
592, 0.5534209815479585
592.5, 0.5458655836958997
593, 0.5366776610395183
593.4999999999999, 0.5287206534990903
594, 0.5233552019915431
594.5, 0.5173212087967487
595, 0.5086639562544137
595.5, 0.5012579186761421
596, 0.49127067997240204
596.4999999999999, 0.4781359766244808
597, 0.46539980862277197
597.5, 0.4510397296224964
598, 0.4374467524688326
598.5, 0.4232280171089986
599, 0.4093738138109684
599.4999999999999, 0.3952592073130301
600, 0.38210833177297854
600.5, 0.37109686721269863
601, 0.3584290802054646
601.5, 0.34484325212023226
602, 0.33329460497166075
602.4999999999999, 0.3196877587050633
603, 0.3070142887706382
603.5, 0.29441131448905367
604, 0.2783454406159356
604.5, 0.2637303860344433
605, 0.25219950596125784
605.5, 0.2400338808806266
606, 0.2282954581618606
606.5, 0.21728878358057635
607, 0.20824611615682453
607.5, 0.1973743740070395
608, 0.18804969957740703
608.5, 0.17997339062743833
609, 0.17209333858285447
609.5, 0.16826738658808527
610, 0.16524101921230194
610.5, 0.15669528204934213
610.9999999999999, 0.14550907161979865
611.5, 0.13829969751675275
612, 0.13440316334286884
612.5, 0.12853052311831892
613, 0.12141938798026164
613.5, 0.11634078837835293
613.9999999999999, 0.11188884530899834
614.5, 0.10897191301250153
615, 0.10804574601815098
615.5, 0.10419566687163417
616, 0.09778009284825107
616.5, 0.09157287334481001
616.9999999999999, 0.08837028296474614
617.5, 0.09042152733143105
618, 0.09222645885204184
618.5, 0.09235705089455859
619, 0.09093244604491257
619.5, 0.08805123185838504
619.9999999999999, 0.08292507210143096
620.5, 0.07637114306592707
621, 0.07228102088530886
621.5, 0.06989711510797303
622, 0.07067354189155939
622.5, 0.0705307418902974
622.9999999999999, 0.07068869023518864
623.5, 0.06989210097633514
624, 0.07213327329370856
624.5, 0.07634906221245696
625, 0.0849774706806139
625.5, 0.09102706334410904
625.9999999999999, 0.09297947911450333
626.5, 0.09578167058483089
627, 0.10016532512867915
627.5, 0.1055428093479831
628, 0.11227383009244729
628.5, 0.11889490536480363
628.9999999999999, 0.12478935119465095
629.5, 0.13074399011217253
630, 0.13734217612414756
630.5, 0.1441002315199853
631, 0.1494358308844861
631.5, 0.15562080010946655
631.9999999999999, 0.16579319426073535
632.5, 0.17605036785650263
633, 0.18723297933734795
633.5, 0.19767685031517246
634, 0.20719647389340423
634.5, 0.21683626231648923
634.9999999999999, 0.2262294631675168
635.5, 0.2361057110791691
636, 0.2460418179063355
636.5, 0.2590930930110167
637, 0.27804661223881855
637.5, 0.29406433414905386
637.9999999999999, 0.311603165296499
638.5, 0.3273880493132699
639, 0.3423483879165312
639.5, 0.36421666882136616
640, 0.3847235892587211
640.5, 0.40174950745978144
640.9999999999999, 0.4218497699981265
641.5, 0.44191225013457114
642, 0.45885669943437346
642.5, 0.47743326518737117
643, 0.49664995063915107
643.5, 0.5108835906219058
643.9999999999999, 0.5263668479611621
644.5, 0.541523723158396
645, 0.5507974801256843
645.5, 0.5612369187481505
646, 0.5694486095932678
646.5, 0.577655681566775
646.9999999999999, 0.5797717689511019
647.5, 0.5807856211861577
648, 0.5804370209720453
648.5, 0.5806078549380418
649, 0.5829106849975929
649.4999999999999, 0.5824008151698474
649.9999999999999, 0.5776773932400068
650.5, 0.5669631469131771
651, 0.5539850147557885
651.5, 0.5412590817223562
652, 0.5262153081908245
652.4999999999999, 0.5090755901566286
652.9999999999999, 0.4909744517915353
653.5, 0.46918899506979983
654, 0.4456682421698357
654.5, 0.42565046184089717
655, 0.4115988917664888
655.4999999999999, 0.3949300430770659
655.9999999999999, 0.3718920495962603
656.5, 0.34955652893656364
657, 0.3278637239636497
657.5, 0.31139084932660666
658, 0.295731869878483
658.4999999999999, 0.27595633333175495
658.9999999999999, 0.2559612824097899
659.5, 0.23857617370439232
660, 0.22450036577450128
660.5, 0.20910467756988282
661, 0.19328706275851104
661.4999999999999, 0.1810020939979653
661.9999999999999, 0.16800056704018917
662.4999999999999, 0.1545179421245484
662.9999999999999, 0.14299704147987402
663.5, 0.12922156116002714
664, 0.11691083638330912
664.4999999999999, 0.10219127253924576
664.9999999999999, 0.08329218235068048
665.4999999999999, 0.06842717683588617
665.9999999999999, 0.05960129472406184
666.5, 0.05529891600975567
667, 0.05271114334210836
667.4999999999999, 0.04957146092835796
667.9999999999999, 0.04580210407640628
668.4999999999999, 0.04139087948393261
668.9999999999999, 0.03702794546325894
669.5, 0.03281939836469139
670, 0.028988714962858708
670.4999999999999, 0.027148303955914166
670.9999999999999, 0.025764778892968465
671.4999999999999, 0.020172297673997086
671.9999999999999, 0.014870261322228018
672.5, 0.01366905600592716
673, 0.015849807919227743
673.4999999999999, 0.016800089597082568
673.9999999999999, 0.015241141220315058
